n#010711,n02065599
v#008229,v01654271
a#012191,a02208385
a#009333,a01703330
a#017002,a02979593
n#067140,n12512674
n#062083,n11426125
n#019847,n03619196
n#009660,n01882125
n#038497,n07113732
n#022709,n04104147
a#008627,a01572604
n#023502,n04235291
v#007952,v01598637
n#012924,n02439929
v#012831,v02585360
v#002739,v00554729
n#059250,n10911687
a#014116,a02545023
n#036270,n06719299
n#008197,n01606097
v#000414,v00084230
a#001690,a00306034
v#004539,v00943281
a#013990,a02522669
a#013126,a02369869
n#045445,n08350470
n#022956,n04142999
n#061037,n11237868
a#001062,a00198383
n#067453,n12579404
v#008190,v01646300
v#008690,v01746940
v#002187,v00449153
n#018972,n03471030
n#037156,n06888944
n#011867,n02261630
n#072623,n13599730
n#025158,n04507891
a#006139,a01119305
a#000792,a00146430
n#003450,n00680336
a#015423,a02740508
a#002959,a00528167
n#008044,n01580077
a#011560,a02109552
n#052099,n09702541
n#007389,n01452633
a#006698,a01223781
n#069789,n13056799
n#082592,n80000478
n#033065,n06072476
n#052105,n09703485
n#012993,n02451575
n#058298,n10738871
n#006702,n01313888
v#013365,v02697610
a#014092,a02539877
n#073474,n13730902
n#081425,n15176937
n#009408,n01830799
n#018363,n03372029
n#001289,n00273319
n#021075,n03827830
a#000729,a00136727
a#013910,a02508669
n#051817,n09655466
n#059837,n11022465
n#007208,n01413071
n#065130,n12087408
v#004068,v00840609
v#006983,v01407376
n#044414,n08144907
n#069672,n13031323
a#000287,a00055256
a#004174,a00754873
n#046739,n08619620
v#001308,v00273445
n#017992,n03308152
a#005319,a00972354
n#006031,n01178415
n#043952,n08045428
n#074554,n13919059
n#078598,n14684017
n#013653,n02570648
n#068554,n12804866
n#078002,n14564056
a#005147,a00939895
n#050340,n09374306
v#007677,v01544558
n#046187,n08502051
n#081271,n15149351
v#003749,v00767122
n#078317,n14620654
n#040539,n07487177
n#069553,n13007629
v#006941,v01399450
a#008319,a01516207
a#015650,a02770951
r#000661,r00107895
n#052346,n09738708
a#017937,a03125096
n#011328,n02169833
n#009096,n01779939
n#055083,n10194341
n#072647,n13608480
n#015342,n02859184
n#081588,n15206744
n#030987,n05636402
a#017864,a03113271
n#061080,n11245744
n#078209,n14601039
a#007775,a01424353
n#002610,n00528397
a#015877,a02802976
a#010925,a01995288
n#016739,n03092314
n#049776,n09266453
v#013254,v02674340
n#017873,n03287351
n#064913,n12038406
a#002197,a00390195
n#004585,n00899049
a#006227,a01138610
n#066336,n12339526
n#001253,n00266645
r#002100,r00304425
n#076863,n14352801
n#005741,n01122149
n#004556,n00893649
n#079775,n14889479
n#034355,n06359657
a#002272,a00400922
v#012418,v02495387
n#018559,n03404251
a#015133,a02698898
n#079626,n14863970
a#002501,a00444519
a#007454,a01368726
n#061546,n11329690
n#055249,n10222949
n#045308,n08319679
n#078122,n14584502
n#030846,n05610365
a#007541,a01385046
n#042983,n07864198
n#076232,n14245163
n#071963,n13467443
n#064398,n11935715
v#006486,v01316209
n#014525,n02722997
n#045118,n08281812
n#047749,n08841956
n#020879,n03795580
n#038952,n07201105
a#006785,a01239781
n#043677,n07976069
n#059333,n10926917
n#010310,n01996585
v#012916,v02600948
a#007485,a01374361
n#063811,n11810030
a#002480,a00440489
a#014539,a02612531
r#002288,r00334516
n#015499,n02885233
n#066539,n12381931
v#004800,v00998886
a#009302,a01698903
n#028354,n05120310
v#005840,v01199365
v#010924,v02189588
n#070799,n13261779
v#008919,v01793177
n#018237,n03352628
n#068516,n12796192
a#002369,a00418110
a#008608,a01568375
v#009677,v01946279
n#001721,n00353249
n#074540,n13917094
a#006980,a01278818
n#066387,n12349711
n#055121,n10200246
n#057254,n10565764
n#032878,n06021499
r#002471,r00360551
n#074241,n13864763
v#000600,v00124074
v#003315,v00675412
n#049455,n09202405
n#011741,n02240852
n#080396,n14994726
n#000807,n00178972
n#075266,n14059336
n#027323,n04925895
n#067812,n12650915
n#050776,n09458587
a#010199,a01856929
a#002590,a00460076
n#021391,n03880951
a#011003,a02009166
v#006278,v01278427
n#026842,n04832401
n#021523,n03901548
n#056418,n10417551
n#070048,n13118398
a#014870,a02661574
n#062812,n11602091
n#056916,n10509605
n#031212,n05678474
v#006317,v01285440
n#078998,n14758252
n#010002,n01943367
n#001208,n00258403
n#058762,n10819755
a#017454,a03047388
v#003037,v00611055
n#027262,n04913322
n#042486,n07790400
n#058061,n10702483
n#013955,n02621577
n#011472,n02194750
n#074390,n13891242
v#001950,v00399368
n#050184,n09344324
n#026366,n04734698
n#013846,n02604014
n#041840,n07690273
n#054924,n10169008
n#071049,n13304009
n#040800,n07533877
n#074182,n13853680
n#030353,n05512670
n#029016,n05253561
n#018826,n03449103
n#015243,n02842684
n#051266,n09542868
n#012572,n02383912
n#067949,n12679201
n#054587,n10117739
n#057928,n10681748
a#007222,a01325193
n#075782,n14162025
n#063077,n11656549
n#055975,n10342543
v#007950,v01598395
n#050005,n09308116
n#025403,n04550546
n#036438,n06753800
n#042278,n07756951
n#026453,n04752221
n#016817,n03108455
n#019431,n03548086
n#029596,n05363270
v#007833,v01576917
n#048224,n08956140
n#000397,n00102374
n#050525,n09410224
n#022804,n04120266
n#026772,n04817788
n#051327,n09555391
n#068105,n12711182
n#052665,n09793141
r#001525,r00224843
n#020562,n03736470
r#001478,r00217105
n#022545,n04076433
a#015976,a02818751
v#007880,v01585523
n#047037,n08684676
v#013811,v80000045
n#042317,n07762913
a#011980,a02179167
n#024841,n04455579
n#022328,n04037873
r#002984,r00435951
n#053103,n09867154
v#005583,v01147855
n#036182,n06703834
n#035215,n06526004
n#008735,n01706865
n#065655,n12192373
n#076817,n14347190
v#008594,v01726605
a#004696,a00855565
a#012285,a02223559
n#074176,n13852600
n#017256,n03177856
n#016537,n03056493
n#045950,n08456347
a#018159,a80000004
n#000317,n00087073
n#033297,n06139491
a#002827,a00502646
n#074657,n13940456
n#076618,n14313154
n#011971,n02279819
a#003202,a00574422
n#043950,n08044676
n#000258,n00075471
v#006060,v01241614
a#008120,a01482020
a#004424,a00802960
n#065322,n12124505
n#016882,n03118346
v#000127,v00028876
n#077707,n14509583
n#071283,n13343774
v#003301,v00671859
v#005398,v01115585
n#037170,n06891022
a#017510,a03056115
n#043211,n07898247
n#004995,n00981830
n#043833,n08007667
a#014927,a02669223
r#000295,r00053274
n#065576,n12175797
n#007835,n01544877
n#082107,n15298852
n#016620,n03069567
a#017736,a03093379
n#035584,n06597204
n#043880,n08022259
n#057811,n10661563
n#035518,n06584891
n#062078,n11424938
n#003253,n00641820
a#011240,a02049428
n#034608,n06406625
n#064424,n11938556
n#066903,n12459629
n#036723,n06808121
n#006794,n01329935
n#023561,n04244847
v#002688,v00545953
v#005691,v01170824
n#079528,n14846890
a#014402,a02594443
n#039147,n07235696
n#007438,n01461146
n#026227,n04703104
n#027900,n05032193
n#072537,n13583272
n#007664,n01514431
n#062117,n11432632
n#075544,n14110674
v#001847,v00378361
a#012927,a02334561
n#030123,n05464378
n#007009,n01376092
n#024698,n04432393
a#004493,a00816324
n#004673,n00915497
v#010234,v02053490
n#067428,n12573911
a#012114,a02197244
n#073615,n13753585
a#000230,a00045561
n#048072,n08924691
a#015397,a02736179
v#000405,v00082563
n#072367,n13549311
n#027881,n05028562
n#031649,n05765415
a#017344,a03030635
n#044127,n08078453
a#015036,a02684742
n#033273,n06133802
n#014992,n02804414
n#033136,n06097775
a#016367,a02879152
n#068893,n12871859
n#003089,n00610222
n#033067,n06072776
a#013808,a02490170
v#006823,v01378421
n#020423,n03713556
n#083267,n80001169
a#000191,a00038119
n#066883,n12455342
a#003559,a00640106
n#070296,n13163471
n#002791,n00560529
v#011530,v02314946
r#001792,r00259467
n#046688,n08611421
n#041691,n07668588
n#002682,n00539951
n#035839,n06642138
n#079738,n14882935
n#069611,n13018906
n#063942,n11837020
n#054341,n10078529
n#014475,n02712280
n#048093,n08928742
v#004159,v00861560
r#003201,r00464620
n#043726,n07989083
a#000498,a00095094
r#000865,r00134115
n#014793,n02770078
n#005191,n01017987
v#004678,v00972867
r#003182,r00462203
n#045847,n08425888
n#016494,n03048598
a#006722,a01229020
n#064352,n11926365
a#011732,a02142063
n#034126,n06315873
a#012962,a02340458
n#031021,n05641959
a#000585,a00110252
n#039332,n07267931
a#001667,a00300943
n#050702,n09445780
n#044405,n08143163
n#074784,n13966496
a#009540,a01738335
n#075585,n14118423
n#020938,n03805280
n#010527,n02034295
a#008960,a01637371
a#013623,a02458262
v#001290,v00269889
a#010818,a01974451
n#054234,n10061195
n#077001,n14375576
n#031683,n05773049
n#073288,n13703505
v#000317,v00063557
n#023262,n04197391
n#075066,n14020271
n#018777,n03441582
v#000066,v00015713
n#078857,n14729953
r#002657,r00389958
r#002593,r00380675
n#013398,n02523427
n#055112,n10198832
a#012509,a02260382
n#074605,n13930928
n#078974,n14753188
n#003641,n00714357
n#021507,n03899328
n#055503,n10266328
n#004481,n00880893
n#061442,n11312362
n#040159,n07420217
v#009470,v01906687
n#009211,n01798839
n#011331,n02170400
a#001546,a00276862
a#000803,a00147734
n#080538,n15019357
n#053730,n09971839
n#013674,n02574093
n#055530,n10270383
n#075501,n14103180
n#006310,n01233397
n#031386,n05711915
n#016042,n02974348
n#010861,n02091244
n#053268,n09892693
n#049763,n09264425
n#046089,n08483500
n#044600,n08183046
n#049151,n09145553
a#007445,a01366525
r#003000,r00438483
n#040678,n07511380
n#043432,n07928887
n#058398,n10754578
n#021184,n03846677
n#037403,n06924560
n#015835,n02939565
n#080191,n14957057
n#002390,n00484910
a#010003,a01820684
n#063429,n11729478
n#069837,n13066129
a#002499,a00444220
v#006207,v01266749
n#006449,n01257418
n#045290,n08316346
a#007558,a01388655
n#080327,n14981461
n#013253,n02497832
n#049622,n09236423
n#063878,n11824146
n#050190,n09345127
r#003585,r00513098
r#002755,r00403911
n#014516,n02720576
n#059877,n11029888
a#004303,a00780944
n#065719,n12205460
n#034460,n06380055
n#044066,n08068457
n#069399,n12974457
n#044317,n08120624
v#011497,v02308741
n#025988,n04656051
a#008950,a01635962
n#012681,n02400139
a#002137,a00382321
n#004688,n00918383
n#080708,n15048748
n#068945,n12883265
n#053581,n09945905
n#010883,n02095212
n#012433,n02361706
n#012700,n02404432
a#007015,a01287282
n#074101,n13839287
n#051797,n09652398
n#048013,n08909233
n#061039,n11238303
n#011193,n02145767
r#002231,r00325493
a#010589,a01931517
n#018409,n03379204
r#000735,r00118032
r#001601,r00235070
n#010613,n02048514
v#000644,v00141362
n#011703,n02234719
n#080100,n14942411
r#001712,r00250258
n#003711,n00728218
v#002896,v00583759
n#000874,n00191980
n#008684,n01697749
a#006476,a01184183
n#064978,n12054678
n#053261,n09891730
n#034843,n06456515
n#064579,n11968931
n#063894,n11827348
n#060781,n11192901
n#074989,n14005302
a#003653,a00657726
n#015644,n02907873
n#055497,n10265281
n#003835,n00750405
n#059575,n10973339
n#070423,n13190218
n#031207,n05677744
n#044695,n08209519
n#052329,n09736035
n#063472,n11738063
n#015547,n02893148
n#016395,n03032252
n#000993,n00215838
n#029519,n05349273
r#001268,r00187455
v#003246,v00659776
v#011944,v02395000
n#004679,n00916285
n#028256,n05100525
v#003052,v00614829
v#009124,v01839170
a#016917,a02965985
n#027711,n04995421
a#003031,a00541460
n#061090,n11247413
a#016787,a02944872
n#048283,n08968677
n#034896,n06466787
n#065422,n12143676
r#002307,r00337681
n#020577,n03742238
n#054512,n10106387
a#017578,a03067329
n#025485,n04563942
n#023765,n04275548
n#035321,n06546633
n#036059,n06683183
n#044644,n08190292
n#027181,n04898087
a#010478,a01911053
n#008706,n01701551
a#015755,a02785757
n#044781,n08223688
n#066488,n12371202
n#013918,n02615829
n#080496,n15012478
n#029873,n05415200
n#064693,n11991993
n#046896,n08652480
n#063126,n11668573
n#041490,n07640653
a#010300,a01877182
n#019031,n03480186
n#011159,n02139671
n#072466,n13568109
n#001116,n00239230
n#054519,n10107604
n#022786,n04117089
a#017523,a03058501
n#017768,n03266906
n#076925,n14362075
n#023801,n04281131
a#012776,a02307367
n#052387,n09744834
n#050270,n09359803
a#012005,a02186338
n#003345,n00659048
n#070804,n13262462
a#012695,a02293592
a#004997,a00913306
n#060075,n11065938
n#078928,n14743727
n#047246,n08735008
a#012782,a02308840
n#055944,n10336730
n#022431,n04056491
n#030040,n05448704
n#022379,n04047139
n#071697,n13415744
n#021798,n03947111
n#023106,n04169707
n#082878,n80000764
n#027110,n04884627
n#040935,n07560542
n#030011,n05443651
a#016529,a02904223
n#010238,n01984695
n#014931,n02793684
a#013522,a02441215
v#003400,v00693633
n#081687,n15223343
n#078689,n14698884
n#051644,n09613690
a#016572,a02910789
v#005200,v01077759
n#022058,n03992115
v#013293,v02683127
v#003387,v00690614
a#005730,a01046784
n#039542,n07306160
a#008763,a01601901
n#060701,n11179502
n#032406,n05921685
n#065563,n12172906
v#008401,v01686827
n#066289,n12331066
n#065351,n12129738
n#023563,n04245218
a#018133,a03152480
n#060680,n11175875
n#064265,n11905236
n#063232,n11689678
n#036160,n06701128
r#001875,r00270581
n#048966,n09111168
a#009148,a01668567
a#008184,a01492394
a#017384,a03036316
v#003557,v00727305
n#032273,n05893916
a#008632,a01573568
a#016484,a02897335
n#005631,n01102712
a#003740,a00672621
n#071700,n13416106
v#003434,v00701040
n#082170,n80000056
v#009782,v01965911
a#016707,a02932931
n#007447,n01462945
n#058808,n10828990
n#006977,n01370465
n#026141,n04687633
v#002631,v00535844
n#053981,n10014658
n#022798,n04119360
a#012739,a02300914
a#005956,a01085167
v#007939,v01596404
n#058457,n10763620
n#006765,n01324019
n#041200,n07601175
v#004431,v00919608
n#034228,n06336723
a#003562,a00640660
n#022904,n04135315
n#038383,n07093603
v#004742,v00987071
a#000349,a00066933
n#022885,n04132354
n#022982,n04147364
n#072287,n13533886
a#015038,a02684971
n#012805,n02420675
n#069562,n13009429
n#036514,n06768901
a#004462,a00810636
v#006922,v01396091
n#020673,n03760671
v#011384,v02285629
a#013236,a02391003
a#004232,a00767133
n#058853,n10837258
n#069844,n13067532
a#005347,a00977839
n#049050,n09127161
n#021217,n03852908
n#083169,n80001057
n#037537,n06943221
r#002260,r00329878
n#037486,n06935911
n#014734,n02760658
n#035961,n06664353
n#081499,n15191080
n#005343,n01045924
n#010065,n01953877
a#002420,a00427644
n#074723,n13954118
n#052076,n09698644
n#072923,n13654674
r#000856,r00133140
n#033002,n06054446
n#010124,n01964049
n#046631,n08600443
a#012615,a02280090
r#000935,r00142662
n#041068,n07582811
n#062841,n11609122
n#066680,n12411922
n#069693,n13035707
n#047434,n08773098
r#001061,r00159284
n#051135,n09524151
n#039370,n07274197
v#003953,v00813651
a#004153,a00750843
a#001044,a00195383
n#017903,n03292475
n#040742,n07523016
n#048562,n09028643
n#040431,n07468861
n#064483,n11949707
r#003500,r00502710
n#014491,n02714315
n#016966,n03132879
a#016027,a02826701
n#000209,n00066075
v#009238,v01862776
a#003641,a00655445
n#013060,n02463205
a#008514,a01550779
n#042922,n07855413
n#055384,n10247176
n#039443,n07287812
n#009995,n01941670
a#008401,a01529897
a#005653,a01032710
n#021282,n03863262
n#081746,n15233778
n#040661,n07508486
n#068088,n12707199
n#034146,n06319575
v#002849,v00575169
v#013006,v02622234
n#042594,n07806120
n#077306,n14432875
n#055795,n10313724
n#077211,n14414715
v#000953,v00201722
n#063442,n11732052
n#081504,n15191661
r#002345,r00342904
n#080581,n15026508
n#073517,n13737952
n#080494,n15012214
n#021101,n03832973
n#079961,n14919948
n#005572,n01089635
n#071985,n13471681
v#004340,v00900499
v#012557,v02525447
n#061959,n11401009
n#070341,n13174354
n#010337,n02002075
n#001651,n00339907
n#026851,n04834339
n#005726,n01119850
n#049541,n09221723
r#000452,r00078187
a#011163,a02037708
a#005095,a00930022
a#001146,a00210848
n#010496,n02029706
n#080206,n14959472
n#047953,n08896327
n#010587,n02044659
n#020164,n03671272
n#080577,n15025942
n#001441,n00301857
a#001358,a00244054
n#054195,n10053808
n#082686,n80000572
n#004000,n00787465
n#007147,n01402039
v#012424,v02496498
r#001423,r00208773
n#002076,n00422114
v#002544,v00521033
n#008109,n01590583
n#026932,n04850341
a#006056,a01101264
n#016261,n03011355
a#001245,a00226535
n#035080,n06502378
a#010827,a01975833
n#010668,n02057731
n#080711,n15049309
n#027798,n05012941
n#012698,n02404028
v#013667,v02753426
n#059882,n11030855
n#064362,n11928549
n#026510,n04765166
n#046849,n08645212
n#057006,n10525617
n#059448,n10948798
n#079983,n14923458
n#066324,n12337617
n#014015,n02632989
r#002228,r00324976
v#011782,v02361600
a#005246,a00956733
r#001889,r00272512
n#014106,n02648313
v#006588,v01336334
n#050121,n09332976
a#012850,a02320117
n#071184,n13325382
n#032900,n06025854
v#002883,v00581205
n#020150,n03668642
n#004463,n00878052
n#009365,n01823912
a#010392,a01895630
n#082619,n80000505
n#015119,n02823750
n#058113,n10712055
v#013461,v02715279
n#035124,n06509675
v#006523,v01322854
n#059517,n10962837
n#002094,n00425090
n#073895,n13802634
v#009123,v01839030
n#027035,n04870643
n#014087,n02645304
n#073972,n13817872
n#004305,n00846515
v#007345,v01481154
n#049229,n09160168
n#048281,n08968225
n#056719,n10477465
v#013298,v02684078
n#063944,n11837351
n#059458,n10950786
n#001227,n00262249
n#046544,n08585298
v#001507,v00311980
n#018446,n03384706
v#001977,v00405540
n#076807,n14345815
a#003028,a00540977
a#016964,a02973836
n#065741,n12217211
n#011419,n02185337
n#016400,n03033267
v#008492,v01704752
n#027591,n04974145
n#057667,n10637483
n#067753,n12639584
v#006243,v01272582
n#046883,n08650391
n#023657,n04259364
n#017239,n03175081
n#080973,n15093137
a#001974,a00355782
n#048661,n09054233
a#017956,a03127583
a#017256,a03016857
n#055015,n10184403
n#029548,n05354381
v#007327,v01477538
r#001428,r00209518
v#007276,v01466733
n#082048,n15288111
n#008948,n01744401
n#065250,n12111627
n#016371,n03028785
n#011912,n02269340
n#061606,n11340642
a#007055,a01294756
n#065956,n12262327
n#036404,n06747008
n#053390,n09911849
n#057461,n10601078
n#042523,n07795598
n#071782,n13431380
n#067636,n12615097
n#004319,n00849523
n#045507,n08361720
n#066431,n12359026
n#052523,n09765278
n#011309,n02166826
n#057298,n10574538
n#015425,n02873244
n#056178,n10375314
n#022286,n04031884
n#080039,n14932222
a#006861,a01254296
n#080414,n14997699
n#021744,n03938838
a#014317,a02580126
r#001319,r00193886
n#074673,n13943968
n#075335,n14072126
a#012036,a02189491
v#011306,v02269767
n#059775,n11010697
n#035731,n06622595
n#012288,n02337171
n#029535,n05352291
n#005954,n01164275
n#045977,n08461981
n#060298,n11108400
n#035662,n06610992
a#015254,a02716516
n#038131,n07043389
n#039557,n07308889
n#043276,n07907831
a#010714,a01957177
n#021209,n03851124
n#022041,n03989447
n#065029,n12066261
n#035548,n06591224
n#043327,n07915094
n#000012,n00006150
r#000259,r00047239
n#064481,n11949217
n#076519,n14292090
a#016530,a02904372
n#000101,n00045907
n#066744,n12426248
a#012195,a02208852
n#075352,n14075358
n#026706,n04804451
a#017006,a02980122
n#054009,n10019888
n#077278,n14427633
n#016869,n03116163
n#033905,n06268784
n#077506,n14470754
n#012001,n02285179
n#062794,n11598100
n#059493,n10958381
n#030093,n05457973
n#016579,n03063199
n#037635,n06960083
n#071595,n13397443
v#000076,v00017531
n#072710,n13618298
v#006991,v01408760
v#008783,v01763829
n#017070,n03148130
n#060718,n11182098
n#017624,n03241660
n#032271,n05893512
a#003073,a00550777
n#018976,n03471685
n#072080,n13491060
r#001881,r00271470
n#065262,n12113471
n#078976,n14753808
a#000796,a00146786
a#003877,a00696996
v#007036,v01417257
n#034770,n06437308
a#011564,a02110447
a#010979,a02005460
a#011336,a02068174
n#055306,n10234867
n#062723,n11545350
n#013541,n02548689
v#005123,v01063049
a#011267,a02053818
n#072481,n13570923
n#073160,n13688319
n#020538,n03731590
n#061707,n11358598
n#028664,n05182354
n#025084,n04496614
n#025610,n04585318
n#076378,n14269319
n#032179,n05870790
v#001646,v00337700
n#021995,n03982060
a#012324,a02230080
n#066880,n12454793
n#067523,n12593122
a#013914,a02509170
n#037026,n06867218
a#018107,a03148831
n#015196,n02835915
n#079514,n14843767
n#029614,n05366043
n#003035,n00602026
a#000283,a00054804
a#011755,a02146159
v#004569,v00949974
a#000473,a00090408
n#025703,n04600486
a#011642,a02126332
v#011888,v02381951
a#000302,a00057992
n#054023,n10023264
n#030059,n05452204
n#033763,n06240244
n#035696,n06617011
a#007009,a01286239
n#020058,n03652729
a#009944,a01810720
n#036505,n06767287
n#014979,n02802426
n#026081,n04675646
n#074721,n13953787
r#002608,r00382749
n#033622,n06210171
a#008315,a01515280
n#030290,n05499379
n#077961,n14557315
v#001661,v00341184
n#071401,n13365698
n#033553,n06197503
a#005670,a01035422
n#077834,n14533937
n#051106,n09519192
n#041123,n07590320
r#001779,r00258088
r#000838,r00131018
a#018026,a03137726
n#081632,n15214419
r#003333,r00482373
n#043036,n07871720
n#009653,n01880937
n#070032,n13108545
n#012939,n02443114
n#038775,n07167578
v#004021,v00829014
a#016535,a02905050
n#024352,n04374315
n#078841,n14725591
n#070591,n13223710
n#024243,n04355338
n#069403,n12975207
a#004781,a00871690
n#002096,n00425278
v#009760,v01961859
v#001065,v00224168
n#065717,n12205104
n#020968,n03810412
n#003122,n00617692
n#022132,n04004099
n#072078,n13490683
n#067074,n12496207
n#055888,n10328328
n#076788,n14342533
n#057490,n10605375
a#014515,a02609168
a#005398,a00986457
n#040569,n07492170
a#016444,a02890703
n#073683,n13766252
a#008505,a01548925
n#078750,n14709791
n#069267,n12950501
n#026067,n04672605
n#002204,n00446493
n#073192,n13692151
n#060241,n11097625
n#006262,n01225299
n#015898,n02950018
v#003719,v00760402
n#004905,n00963447
n#024737,n04438304
n#012100,n02302853
a#013969,a02519029
n#004810,n00941974
a#003759,a00675368
n#023209,n04186624
n#074249,n13866626
a#008418,a01533120
n#064529,n11958888
n#051211,n09534058
n#073033,n13673178
v#009659,v01942959
n#063815,n11810728
v#007155,v01441382
n#073702,n13768343
a#008484,a01545203
n#055173,n10209731
n#005052,n00992544
n#004517,n00888162
n#077297,n14431738
n#040021,n07396233
a#007508,a01378671
a#014633,a02626294
n#009074,n01775370
n#019094,n03491491
n#056041,n10353355
n#080687,n15044844
n#011356,n02174659
v#005844,v01199881
n#053253,n09890662
n#003945,n00777069
n#024965,n04477387
n#011247,n02154620
n#036696,n06803478
n#019775,n03606465
n#044574,n08178547
a#005170,a00944111
n#079596,n14858794
n#073564,n13746419
n#045065,n08272652
n#050864,n09474663
n#025164,n04509171
a#000877,a00161878
n#068541,n12801781
n#013440,n02530999
a#001708,a00309740
n#077251,n14422751
v#010577,v02119659
a#015456,a02745203
r#000532,r00089267
n#039247,n07254057
n#032874,n06018465
r#002838,r00416084
n#006417,n01251923
n#065260,n12113195
n#081216,n15139691
n#047719,n08835390
n#025232,n04520962
a#014569,a02616627
n#067396,n12567316
n#052477,n09756400
n#006788,n01328121
n#022473,n04064107
v#000629,v00137313
n#019173,n03504293
n#002994,n00595333
n#048502,n09015907
n#019341,n03532672
n#080239,n14965780
n#053857,n09993651
a#004328,a00785889
n#043155,n07889814
n#024114,n04332466
a#018006,a03135137
n#063527,n11750173
v#005984,v01227675
n#007760,n01533169
n#079024,n14762366
n#017902,n03292362
v#000497,v00100410
n#006908,n01357707
r#003620,r00516492
a#005540,a01012503
n#014608,n02738978
n#036735,n06810407
n#049012,n09120594
n#009356,n01822300
n#006322,n01235258
n#079905,n14911530
n#060764,n11189829
v#009863,v01981436
a#002339,a00413224
n#080882,n15078550
n#079768,n14888310
n#060625,n11166060
n#061830,n11379336
v#003150,v00638723
n#072271,n13530989
a#008939,a01633591
n#060556,n11154023
n#004612,n00904904
a#010166,a01850742
n#071795,n13433727
n#082672,n80000558
n#045210,n08300190
n#009548,n01854047
n#009235,n01802895
n#070115,n13132486
n#023948,n04305016
a#007226,a01325691
n#014382,n02696246
n#024089,n04328329
r#002070,r00299603
v#004271,v00885925
n#018453,n03386343
n#059974,n11048586
r#000432,r00075269
n#080127,n14947125
n#050521,n09409752
v#012531,v02519183
v#013539,v02730471
n#016205,n03002555
a#002034,a00370267
n#081558,n15201505
n#071106,n13313464
n#053206,n09883630
n#039944,n07382044
n#006113,n01196477
n#003852,n00754118
n#018372,n03373611
a#014281,a02574092
n#014058,n02639922
n#059203,n10902591
n#002016,n00411553
n#063968,n11843285
r#001390,r00204125
a#001598,a00288070
a#013340,a02409849
n#047150,n08714132
a#017239,a03013904
n#075902,n14185803
n#051417,n09571090
n#039893,n07373803
n#017252,n03177059
n#044156,n08086050
a#008995,a01643260
n#027409,n04942869
n#008616,n01685679
n#071533,n13389194
n#064302,n11916467
a#010184,a01854420
r#002153,r00312775
n#000195,n00063310
n#027588,n04973669
n#029367,n05319279
n#063755,n11798688
n#040271,n07441373
a#011945,a02172851
n#030900,n05620754
n#024824,n04452848
a#006503,a01188762
n#020084,n03656957
n#039970,n07386370
a#017557,a03063721
n#065212,n12104501
n#075306,n14066492
v#005957,v01222485
n#073241,n13698445
n#019662,n03588951
n#055399,n10249191
v#004849,v01008437
n#063636,n11773987
v#002348,v00482893
v#010943,v02193612
n#007868,n01550953
v#004954,v01031756
n#002914,n00582868
a#004805,a00876465
n#051934,n09674631
n#061446,n11313357
r#000060,r00012531
n#082981,n80000867
n#007839,n01545425
n#053564,n09942970
n#074850,n13978601
n#019723,n03599111
a#007760,a01422243
n#079280,n14802262
a#013131,a02370625
a#003622,a00652692
n#036727,n06808720
n#023154,n04177329
v#005695,v01171661
n#035489,n06579952
n#013306,n02506783
n#067440,n12576451
n#068418,n12775530
n#054527,n10108606
n#078255,n14610703
a#009997,a01819692
n#026065,n04672210
n#007369,n01449374
n#061960,n11401194
n#067411,n12570703
r#000341,r00059854
n#027137,n04889337
n#021861,n03958338
v#001498,v00310274
v#005376,v01111458
v#003491,v00712708
n#040954,n07564008
n#040849,n07543204
v#005227,v01082937
n#046348,n08547300
v#001779,v00364297
n#054943,n10171953
n#082341,n80000227
n#026651,n04793731
n#078504,n14667328
n#059555,n10969799
a#012378,a02239888
n#041957,n07708124
n#050108,n09330913
n#026124,n04684358
a#013831,a02494092
n#050626,n09432283
v#009978,v02004009
n#061265,n11281174
n#021465,n03891851
n#053629,n09956387
n#028288,n05106633
n#020427,n03714721
n#072156,n13505843
n#038324,n07082819
n#038059,n07031534
v#008032,v01611123
a#004731,a00863049
n#069078,n12912670
n#009467,n01840968
v#007660,v01541231
v#012663,v02549392
n#041695,n07669211
a#015356,a02730212
n#082227,n80000113
v#005494,v01133825
n#014832,n02776978
n#009517,n01849348
n#070231,n13154736
n#032258,n05890963
a#008221,a01498957
n#056397,n10414239
n#045498,n08360248
n#011852,n02259136
n#036087,n06688522
n#032021,n05840431
n#019832,n03616763
a#005638,a01031038
n#069315,n12959226
n#058827,n10832908
n#009768,n01900006
n#016626,n03070587
n#023246,n04193179
n#077825,n14532142
a#003509,a00630802
n#023520,n04238128
a#007800,a01428581
n#041227,n07605380
n#013948,n02620443
n#022923,n04138398
n#072988,n13667372
n#041376,n07625493
n#022872,n04130715
n#022738,n04110178
a#002904,a00517710
n#029936,n05429404
n#074017,n13826221
v#007963,v01600098
a#003733,a00671683
n#009651,n01880716
v#003627,v00741702
a#003364,a00606347
n#082884,n80000770
r#003470,r00499448
n#073107,n13681749
n#077978,n14559983
v#006491,v01317064
a#014707,a02636811
n#031188,n05673439
n#021971,n03978575
n#073913,n13805974
n#077220,n14416349
n#028864,n05223370
n#066148,n12303083
n#070743,n13251980
n#035899,n06653363
n#043660,n07971582
n#056663,n10466060
n#010234,n01984131
a#005853,a01068104
n#041494,n07641138
v#010660,v02136892
n#074708,n13951629
n#002102,n00426388
n#036824,n06826726
n#036977,n06859175
